semestre,codigo,nome,tipo_flag,ch,turma,frequencia,nota_min,media,situacao
TRANSFERENCIA,MAT00A,CÁLCULO A,,64,--,100.0,,,CUMP
TRANSFERENCIA,MAT00B,CÁLCULO B,,64,--,100.0,,,CUMP
TRANSFERENCIA,XDES01,FUNDAMENTOS DE PROGRAMAÇÃO,,64,--,100.0,,,CUMP
TRANSFERENCIA,XMAC01,MATEMÁTICA DISCRETA,,64,--,100.0,,,CUMP
2022.1,CAHC04,PROJETO INTEGRADO,,32,01,75.0,6.0,6.0,APR
2022.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,37.0,0.0,1.0,REPMF
2022.2,CDES05,PROGRAMAÇÃO LÓGICA E FUNCIONAL,,64,01,75.0,6.0,6.5,APR
2022.2,CMAC04,MODELAGEM COMPUTACIONAL,,64,01,78.0,6.1,7.3,APR
2022.2,CTCO01,ALGORITMOS E ESTRUTURA DE DADOS I,,64,01,90.0,5.5,6.2,APR
2023.1,CMAC03,ALGORITMOS EM GRAFOS,,64,01,100.0,,,CANC
2023.1,CTCO02,ALGORITMOS E ESTRUTURA DE DADOS II,,64,01,100.0,,,CANC
2023.1,XDES02,PROGRAMAÇÃO ORIENTADA A OBJETOS,,64,01,100.0,,,CANC
2023.1,XDES04,ENGENHARIA DE SOFTWARE I,,64,02,100.0,,,CANC
2023.1,XMAC02,MÉTODOS MATEMÁTICOS PARA ANÁLISE DE DADOS,,64,01,100.0,,,CANC
2023.2,CMAC05,CÁLCULO NUMÉRICO PARA COMPUTAÇÃO,,64,02,100.0,,,TRANC
2023.2,IEPG14,COMPORTAMENTO ORGANIZACIONAL I,OPTATIVA,32,01,100.0,5.5,6.9,APR
2023.2,XMAC02,MÉTODOS MATEMÁTICOS PARA ANÁLISE DE DADOS,,64,01,75.0,0.0,2.5,REP
2024.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,75.0,4.5,4.8,REP
2024.1,CTCO02,ALGORITMOS E ESTRUTURA DE DADOS II,,64,01,78.0,5.0,5.6,REP
2024.1,XDES04,ENGENHARIA DE SOFTWARE I,,64,01,100.0,6.2,8.1,APR
2024.1,XMAC02,MÉTODOS MATEMÁTICOS PARA ANÁLISE DE DADOS,,64,01,75.0,6.3,6.6,APR
2024.1,XMCO01,INTELIGÊNCIA ARTIFICIAL,,64,01,81.0,7.0,7.3,APR
2024.2,ADM54H,GESTÃO DE CARREIRA,OPTATIVA,32,01,81.0,6.3,7.1,APR
2024.2,CMAC05,CÁLCULO NUMÉRICO PARA COMPUTAÇÃO,,64,01,75.0,2.2,4.0,REP
2024.2,ECOP04,PROGRAMAÇÃO EMBARCADA,EQUIVALENTE_OBRIGATORIO,32,02,100.0,,,TRANC
2024.2,ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,EQUIVALENTE_OBRIGATORIO,32,03,100.0,,,TRANC
2024.2,IEPG21,CIÊNCIAS HUMANAS E SOCIAIS,OPTATIVA,48,03,75.0,5.2,6.0,APR
2024.2,IEPG22,ADMINISTRAÇÃO APLICADA,OPTATIVA,32,01,87.0,6.3,7.0,APR
2024.2,SDES06,GERÊNCIA DE PROJETOS DE SOFTWARE,OPTATIVA,64,01,100.0,7.3,8.5,APR
2025.1,ADM51H,"CIÊNCIAS, TECNOLOGIA E ORGANIZAÇÕES",OPTATIVA,48,03,100.0,,,MATR
2025.1,CMAC03,ALGORITMOS EM GRAFOS,,64,01,100.0,,,MATR
2025.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,100.0,,,MATR
2025.1,SDES05,ENGENHARIA DE SOFTWARE II,OPTATIVA,64,01,100.0,,,MATR
2025.1,XDES02,PROGRAMAÇÃO ORIENTADA A OBJETOS,,64,01,100.0,,,MATR
