semestre,codigo,nome,tipo_flag,ch,turma,frequencia,nota_min,media,situacao
2023.1,CAHC04,PROJETO INTEGRADO,,32,01,93.0,6.0,7.2,APR
2023.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,90.0,4.4,4.7,REP
2023.1,IEPG21,CIÊNCIAS HUMANAS E SOCIAIS,,48,01,100.0,,,TRANC
2023.1,MAT00A,CÁLCULO A,,64,02,100.0,0.0,0.0,REP
2023.1,XDES01,FUNDAMENTOS DE PROGRAMAÇÃO,,64,01,90.0,6.3,6.9,APR
2023.1,XMAC01,MATEMÁTICA DISCRETA,,64,01,100.0,4.9,6.5,APR
2023.2,CDES05,PROGRAMAÇÃO LÓGICA E FUNCIONAL,,64,01,78.0,5.8,6.6,APR
2023.2,CTCO01,ALGORITMOS E ESTRUTURA DE DADOS I,,64,01,53.0,0.0,1.9,REPMF
2023.2,IEPG21,CIÊNCIAS HUMANAS E SOCIAIS,OPTATIVA,48,05,81.0,8.0,8.1,APR
2023.2,MAT00A,CÁLCULO A,,64,03,100.0,0.0,0.1,REP
2023.2,XMAC02,MÉTODOS MATEMÁTICOS PARA ANÁLISE DE DADOS,,64,01,78.0,0.0,0.9,REP
2024.1,ADM51H,"CIÊNCIAS, TECNOLOGIA E ORGANIZAÇÕES",OPTATIVA,48,02,93.0,8.2,8.4,APR
2024.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,78.0,4.1,4.7,REP
2024.1,MAT00A,CÁLCULO A,,64,04,67.0,0.0,3.5,REPMF
2024.1,XDES04,ENGENHARIA DE SOFTWARE I,,64,01,100.0,5.9,7.6,APR
2024.1,XMCO01,INTELIGÊNCIA ARTIFICIAL,,64,01,84.0,7.5,7.6,APR
2024.2,CTCO01,ALGORITMOS E ESTRUTURA DE DADOS I,,64,01,89.0,4.3,4.6,REP
2024.2,XAHC01,COMPUTAÇÃO E SOCIEDADE,,64,01,87.0,7.2,8.0,APR
2024.2,XDES11,TÓPICOS EM DES I,OPTATIVA,64,01,100.0,6.9,8.5,APR
2025.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,100.0,,,MATR
2025.1,MAT00A,CÁLCULO A,,64,05,100.0,,,MATR
2025.1,SDES05,ENGENHARIA DE SOFTWARE II,OPTATIVA,64,01,100.0,,,MATR
2025.1,XDES02,PROGRAMAÇÃO ORIENTADA A OBJETOS,,64,01,100.0,,,MATR
