semestre,codigo,nome,tipo_flag,ch,turma,frequencia,nota_min,media,situacao
2022.1,CAHC04,PROJETO INTEGRADO,,32,01,81.0,6.5,6.8,APR
2022.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,93.0,5.1,5.2,REP
2022.1,MAT00A,CÁLCULO A,,64,01,100.0,2.1,2.8,REP
2022.1,XDES01,FUNDAMENTOS DE PROGRAMAÇÃO,,64,01,87.0,4.3,4.3,REP
2022.1,XMAC01,MATEMÁTICA DISCRETA,,64,01,100.0,5.8,6.0,APR
2022.2,CDES05,PROGRAMAÇÃO LÓGICA E FUNCIONAL,,64,01,84.0,7.1,8.2,APR
2022.2,MAT001,CÁLCULO I,EQUIVALENTE_OBRIGATORIO,96,02,100.0,5.6,6.6,APR
2022.2,XDES01,FUNDAMENTOS DE PROGRAMAÇÃO,,64,01,87.0,5.1,6.2,APR
2023.1,CRSC03,ARQUITETURA DE COMPUTADORES I,,64,01,81.0,6.4,7.4,APR
2023.1,MAT00B,CÁLCULO B,,64,01,65.0,0.0,1.5,REPMF
2023.1,XDES02,PROGRAMAÇÃO ORIENTADA A OBJETOS,,64,01,84.0,6.0,6.0,APR
2023.1,XMCO08,TEORIA DOS JOGOS,OPTATIVA,64,01,75.0,7.5,8.5,APR
2023.2,CMAC04,MODELAGEM COMPUTACIONAL,,64,01,100.0,4.6,6.0,APR
2023.2,CRSC04,ARQUITETURA DE COMPUTADORES II,,64,01,75.0,6.3,7.4,APR
2023.2,CTCO01,ALGORITMOS E ESTRUTURA DE DADOS I,,64,01,100.0,5.3,6.0,APR
2023.2,IEPG14,COMPORTAMENTO ORGANIZACIONAL I,,32,01,100.0,,,TRANC
2023.2,XDES03,PROGRAMAÇÃO WEB,,64,01,75.0,6.5,7.6,APR
2023.2,XMAC02,MÉTODOS MATEMÁTICOS PARA ANÁLISE DE DADOS,,64,01,75.0,6.1,7.4,APR
2024.1,CMAC03,ALGORITMOS EM GRAFOS,,64,01,81.0,6.3,6.5,APR
2024.1,CMCO05,INTRODUÇÃO À COMPUTAÇÃO VISUAL,,64,01,78.0,7.9,8.6,APR
2024.1,CRSC02,SISTEMAS OPERACIONAIS,,64,01,75.0,6.0,6.0,APR
2024.1,CTCO02,ALGORITMOS E ESTRUTURA DE DADOS II,,64,01,84.0,7.7,7.8,APR
2024.1,CTCO03,ANÁLISE E PROJETO ORIENTADOS A OBJETO,,64,01,87.0,3.4,6.4,APR
2024.1,XAHC02,INTERAÇÃO HUMANO-COMPUTADOR,,64,01,100.0,4.5,6.5,APR
2024.1,XDES04,ENGENHARIA DE SOFTWARE I,,64,01,100.0,7.6,8.8,APR
2024.2,CMAC05,CÁLCULO NUMÉRICO PARA COMPUTAÇÃO,,64,01,100.0,,,MATR
2024.2,CRSC05,SISTEMAS EMBARCADOS,,64,01,100.0,,,MATR
2024.2,CTCO04,PROJETO E ANÁLISE DE ALGORITMOS,,64,01,100.0,,,MATR
2024.2,IEPG20,INTRODUÇÃO À ECONOMIA,OPTATIVA,48,01,100.0,,,MATR
2024.2,XAHC01,COMPUTAÇÃO E SOCIEDADE,,64,01,100.0,,,MATR
2024.2,XMCO01,INTELIGÊNCIA ARTIFICIAL,,64,01,100.0,,,MATR
2024.2,XRSC01,REDES DE COMPUTADORES,,64,01,100.0,,,MATR
